 step     loss     dH/H       ds  logstep    updrms cos_prev
    1   3.8438   1.5969   0.4979   0.0000   0.00321  -0.4543
    2   3.3694   1.5150   0.3460   0.0000   0.00319  -0.2430
    3   3.0724   1.5843   0.2787   0.0000   0.00132  -0.1076
    4   3.1372   1.3985   0.2856   0.0000   0.00191  -0.0599
    5   3.0152   1.6155   0.3085   0.0000   0.00151  -0.1686
    6   3.5492   1.4888   0.2833   0.0000   0.00142  -0.3758
    7   3.0096   1.5221   0.2529   0.0000   0.00100  -0.1926
    8   3.2444   1.4458   0.2519   0.0000   0.00443  -0.0244
    9   2.9796   1.5952   0.2689   0.0000   0.00142  -0.4478
   50   2.7139   1.5618   0.2470   0.0000   0.00151  -0.4419
  100   2.6168   1.4666   0.2582   0.0000   0.00121  -0.2672
  150   2.5329   1.5485   0.2525   0.0000   0.00151  -0.3459
  200   2.7420   1.3316   0.2670   0.0000   0.00119  -0.0348
  250   2.8352   1.5141   0.2593   0.0000   0.00196  -0.3149
  300   2.5139   1.4527   0.2431   0.0000   0.00174  -0.1343
  350   3.4715   1.4279   0.2599   0.0000   0.01079  -0.0041
  400   2.5328   1.3801   0.2575   0.0000   0.00176  -0.0130
  450   2.5142   1.7258   0.2512   0.0000   0.00188  -0.5483
  500   2.4473   1.3420   0.2645   0.0000   0.00136   0.1394
  550   2.4348   1.3966   0.2430   0.0000   0.00115  -0.2078
  600   2.5018   1.3520   0.2550   0.0000   0.00129  -0.1654
  650   2.4271   1.4123   0.2254   0.0000   0.00155  -0.3338
  700   2.4091   1.4428   0.2134   0.0000   0.00096  -0.2345
  750   2.4169   1.4375   0.2227   0.0000   0.00108  -0.0385
  800   2.4398   1.3443   0.2825   0.0000   0.00107  -0.1754
  850   2.4350   1.4641   0.2473   0.0000   0.00095  -0.0762
  900   2.4093   1.3363   0.2243   0.0000   0.00085  -0.0123
  950   2.4028   1.5429   0.2293   0.0000   0.00093  -0.2182
 1000   2.4039   1.4657   0.2191   0.0000   0.00090  -0.2654
 1050   2.4038   1.3983   0.2213   0.0000   0.00073  -0.0674
 1100   2.3984   1.4222   0.2302   0.0000   0.00078  -0.1615
 1150   2.4037   1.4027   0.2273   0.0000   0.00108  -0.0156
 1200   2.3968   1.4024   0.2149   0.0000   0.00080  -0.0923
 1250   2.3837   1.3752   0.2298   0.0000   0.00089  -0.0044
 1300   2.3855   1.4209   0.2073   0.0000   0.00063  -0.0364
 1350   2.3909   1.4565   0.2342   0.0000   0.00067  -0.0928
 1400   2.3980   1.5443   0.2653   0.0000   0.00100  -0.0211
 1450   2.3767   1.5250   0.2506   0.0000   0.00121  -0.3243
