 step     loss     dH/H       ds  logstep    updrms cos_prev
    1   5.0049   1.4350   0.2456   0.0000   0.00350   0.7444
    2   3.3085   1.6033   0.2227   0.0000   0.00341   0.7757
    3   4.4430   1.5967   0.1923   0.0000   0.00363   0.5879
    4   3.6243   1.6719   0.2050   0.0000   0.00343   0.5906
    5   3.0044   1.6653   0.1839   0.0000   0.00368   0.4985
    6   3.5139   1.6473   0.2270   0.0000   0.00376   0.5736
    7   4.3939   1.6355   0.2286   0.0000   0.00361   0.6270
    8   3.7851   1.6525   0.2013   0.0000   0.00338   0.5724
    9   3.4266   1.6507   0.2143   0.0000   0.00321   0.5468
   50   3.1064   1.8016   0.2062   0.0000   0.00485   0.2645
  100   3.8858   1.7892   0.2329   0.0000   0.00512   0.5274
  150   2.8811   1.8545   0.2235   0.0000   0.00602   0.1066
  200   2.9199   1.6752   0.3096   0.0000   0.00768   0.7797
  250   3.1906   1.5585   0.3031   0.0000   0.00682   0.6470
  300   2.9699   1.5270   0.2913   0.0000   0.00701   0.7737
  350   2.9742   1.4834   0.2958   0.0000   0.00569   0.7834
  400   2.8902   1.6046   0.2815   0.0000   0.00558   0.8089
  450   2.7823   1.7466   0.2364   0.0000   0.00498   0.3182
  500   3.0459   1.7402   0.2396   0.0000   0.00421   0.6249
  550   3.1228   1.7599   0.2377   0.0000   0.00569   0.4065
  600   4.3786   1.7857   0.2289   0.0000   0.00409   0.6202
  650   2.7589   1.5283   0.2494   0.0000   0.00462   0.8136
  700   2.7411   1.7608   0.2406   0.0000   0.00427   0.6168
  750   2.9237   1.7710   0.2455   0.0000   0.00501   0.5792
  800   2.6903   1.4895   0.2668   0.0000   0.00504   0.7881
  850   2.9714   1.8157   0.2379   0.0000   0.00498   0.5167
  900   2.8258   1.7231   0.2488   0.0000   0.00410   0.5354
  950   2.8615   1.4470   0.2661   0.0000   0.00432   0.6947
 1000   2.8341   1.7811   0.2579   0.0000   0.00673   0.7999
 1050   3.2683   1.4837   0.2781   0.0000   0.00496   0.7333
 1100   3.0233   1.7591   0.2577   0.0000   0.00570   0.6073
 1150   2.8459   1.7144   0.2376   0.0000   0.00631   0.8373
 1200   2.9255   1.4374   0.2565   0.0000   0.00468   0.5079
 1250   3.0091   1.7718   0.2438   0.0000   0.00478   0.4771
 1300   4.0387   1.5264   0.2782   0.0000   0.00437   0.6666
 1350   2.8135   1.5260   0.2378   0.0000   0.00704   0.6864
 1400   3.1153   1.4595   0.3204   0.0000   0.00643   0.8497
 1450   2.7749   1.7720   0.2453   0.0000   0.00569   0.4735
